"NM_MUNICIP"	"LONG"	"LAT"	"ALT"	"coords.x1"	"coords.x2"	"optional"
"BOA VISTA"	-60.6705326729651	2.81668191910439	79.828228	-60.670532672965	2.81668191910439	TRUE
"CANTÁ"	-60.6020628476112	2.60766639841651	82.9828	-60.6020628476112	2.60766639841651	TRUE
