"id"	"institutionCode"	"datasetName"	"basisOfRecord"	"catalogNumber"	"recordedBy"	"recordNumber"	"occurrenceDetails"	"eventDate"	"continent"	"country"	"stateProvince"	"county"	"locality"	"minimumElevationInMeters"	"maximumElevationInMeters"	"decimalLatitude"	"decimalLongitude"	"geodeticDatum"	"coordinateUncertaintyInMeters"	"identifiedBy"	"typeStatus"	"scientificName"	"kingdom"	"phylum"	"family"	"genus"	"specificEpithet"	"infraspecificEpithet"	"taxonRank"	"scientificNameAuthorship"
"1744c654-75fd-48a3-b21b-049857be1bf8"	"NY"	"New York Botanical Garden"	"S"	"1274380"	"W. W. Thomas"	"3221"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514843"	"1984"	"South America"	"Venezuela"	"Amazonas"	"Mun. Río Negro"	"Along Río Marawinuma, at ""Puerto chimo"" camp, ca. 6 km east of base camp"	"170"	"170"	"0.83"	"-66.12"			"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"86ab4da0-1d49-4d9d-8fbe-9e11bf4a87c5"	"NY"	"New York Botanical Garden"	"S"	"1274381"	"L. W. Williams"	"13956"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514847"	"1942"	"South America"	"Venezuela"	"Amazonas"		"Yavita."	"128"	"128"					"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"7a6f3311-ac51-4302-93c9-cabd580f3261"	"NY"	"New York Botanical Garden"	"S"	"608664"	"B. M. Boom"	"10599"	"http://sweetgum.nybg.org/vh/specimen.php?irn=34634"	"1992"	"South America"	"Venezuela"	"Bolívar"	"Cedeño"	"Along Río Mawela, tributary of the Erebato"	"300"	"300"	"5.13"	"-64.93"			"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"ba5053f7-a86e-4619-9b5d-1b4e1137b309"	"NY"	"New York Botanical Garden"	"S"	"1274368"	"M. J. Jansen-Jacobs"	"6875"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514693"	"2004"	"South America"	"Suriname"	"Marowijne"		"Lely Mts., airstrip, plateau; along ridge of plateau S of airstrip."	"600"	"650"	"4.26837"	"-54.7435"	"Georeferencing Quick Reference Guide, Version 2012"	"7966.57"	"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"1e582c96-83cd-40a7-9498-333feabdfd7c"	"NY"	"New York Botanical Garden"	"S"	"1274369"	"J. C. Lindeman"	"4808"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514703"	"1953"	"South America"	"Suriname"			"Jodensavanne-Mapane kreek area (Suriname R.)."			"5.42"	"-54.98"					"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"aa610efd-86db-4c1c-975b-ddf876ae6b79"	"NY"	"New York Botanical Garden"	"S"	"1274260"	"M. G. Vieira"	"1024"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1513534"	"1979"	"South America"	"Brazil"	"Rondônia"		"Estrada que vai para fazenda Estrela de Rondônia, localidade de Guaporé"			"-12.75"	"-60.17"	"Label"		"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"2cf78659-370d-40c4-9f45-bfbef43d98e5"	"NY"	"New York Botanical Garden"	"S"	"1242152"	"W. S. Alverson"	"24"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1510791"	"1977"	"South America"	"Colombia"	"Antioquia"		"Vic. Planta Providencia, 28 kms SW of Zaragoza. Valley of Río Anorí in areas surrounding the confluence of Quebrada La Tirana and Río Anorí, approx. 3 km upriver from Planta Providencia.  On NW facing slopes on east side of river"	"400"	"700"					"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"d583bc70-7c63-4d54-a7ba-6097633418ea"	"NY"	"New York Botanical Garden"	"S"	"1242203"	"J. G. Graham"	"2735"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1511473"	"2003"	"South America"	"Peru"	"Ucayali"	"Coronel Portillo Province"	"Distr. Calleria.  Cabecera de los Rios Utiquinia y Abujao.  Cabecera de las quebradas Manuela y Tahuallo."	"850"		"-7.9636"	"-73.8997"	"Label"		"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"70192c1e-c16d-4267-8399-197bff092872"	"NY"	"New York Botanical Garden"	"S"	"1274338"	"M. L. Alencar"	"703"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514422"	"1979"	"South America"	"Brazil"	"Amazonas"		"Vicinity of São Gabriel"			"-0.12"	"-67.08"	"Label"		"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"77e9aedc-e484-4fa9-8b1d-9cb67b9cae0c"	"NY"	"New York Botanical Garden"	"S"	"1274337"	"M. L. Alencar"	"614"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514421"	"1979"	"South America"	"Brazil"	"Amazonas"		"Along Rio Curicuriari and Igarapé Cariua to Cachoeira Piraiauara"			"-0.33"	"-66.92"	"Label"		"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
