id	institutionCode	datasetName	basisOfRecord	catalogNumber	recordedBy	recordNumber	occurrenceDetails	eventDate	continent	country	stateProvince	county	locality	minimumElevationInMeters	maximumElevationInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	identifiedBy	typeStatus	scientificName	kingdom	phylum	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship
14adea0c-2b14-4682-bee0-962724d93438	NY	New York Botanical Garden	S	2447547	A. Furlan	CFCR6484	http://sweetgum.nybg.org/vh/specimen.php?irn=2621642	1980	South America	Brazil	Minas Gerais	Santana do Riacho	Km 103 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro. Vale do Rio Chapéu de Sol 9abaixo da pensão).			-19.1689	-43.7144	""	26557	""	""	Protium heptaphyllum (Aubl.) Marchand	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	""	""	(Aubl.) Marchand
48006417-afda-4dd0-8391-ad2645c21afc	NY	New York Botanical Garden	S	2103919	L. A. Pereira	126	http://sweetgum.nybg.org/vh/specimen.php?irn=2499408	2011	South America	Brazil	Paraíba	João Pessoa	Mata Ciliar do Rio Cuiá: Valentina.	47		-7.115	-34.8631	""		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	""	""	(Aubl.) Marchand
7850c8e9-d6dc-4677-b9ff-4c73bbbf5c18	NY	New York Botanical Garden	S	1310629	M. L. Alencar	463 VPI	http://sweetgum.nybg.org/vh/specimen.php?irn=1545205	1979	South America	Brazil	Amazonas	""	Along Rio Marié, at Marauná			-0.67	-66.75	Label		D. C. Daly	""	Protium heptaphyllum subsp. ulei (Swart) Daly	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	ulei	subsp.	(Swart) Daly
714c2c0d-5c64-408e-965b-2dd1c770be7d	NY	New York Botanical Garden	S	1310628	M. L. Alencar	192 VPI	http://sweetgum.nybg.org/vh/specimen.php?irn=1545200	1979	South America	Brazil	Amazonas	""	São Tomé			-0.42	-64.42	Label		D. C. Daly	""	Protium heptaphyllum subsp. ulei (Swart) Daly	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	ulei	subsp.	(Swart) Daly
ffe0bda1-fc6f-450e-849f-c5420c80271e	NY	New York Botanical Garden	S	1309772	M. L. Alencar	192 VPI	http://sweetgum.nybg.org/vh/specimen.php?irn=1545917	1979	South America	Brazil	Amazonas	""	São Tomé			-0.42	-64.42	Label		D. C. Daly	""	Protium heptaphyllum subsp. ulei (Swart) Daly	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	ulei	subsp.	(Swart) Daly
9e59061c-dadc-4ceb-8d9a-a000bcc05982	NY	New York Botanical Garden	S	1310606	J. L. Zarucchi	2551	http://sweetgum.nybg.org/vh/specimen.php?irn=1544788	1979	South America	Brazil	Amazonas	""	Along Manaus-Caracaraí Road ( BR-174 ); Km 115, campina adjacent to Igarapé Lajes			-1.981	-60.0292	Georeferencing Quick Reference Guide, Version 2012	12717	D. C. Daly	""	Protium heptaphyllum subsp. ulei (Swart) Daly	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	ulei	subsp.	(Swart) Daly
a7d767cb-0a3f-458a-8ce9-ac5c10a5b421	NY	New York Botanical Garden	S	1310607	J. L. Zarucchi	2551	http://sweetgum.nybg.org/vh/specimen.php?irn=1544793	1979	South America	Brazil	Amazonas	""	Along Manaus-Caracaraí Road ( BR-174 ); Km 115, campina adjacent to Igarapé Lajes			-1.981	-60.0292	Georeferencing Quick Reference Guide, Version 2012	12717	D. C. Daly	""	Protium heptaphyllum subsp. ulei (Swart) Daly	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	ulei	subsp.	(Swart) Daly
8ed2c20d-8349-41d5-9c81-40fe0b6d8717	NY	New York Botanical Garden	S	1310507	F. E. L. de Miranda	395	http://sweetgum.nybg.org/vh/specimen.php?irn=1542501	1983	South America	Brazil	Pará	Tucuruí	PA-149			-3.76457	-49.6736	Georeferencing Quick Reference Guide, Version 2012	59511.2	D. C. Daly	""	Protium heptaphyllum subsp. cordatum (Huber) Daly	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	cordatum	subsp.	(Huber) Daly
7b580fa0-340d-4d5a-8970-fe48302bb1f1	NY	New York Botanical Garden	S	1310508	F. E. L. de Miranda	408	http://sweetgum.nybg.org/vh/specimen.php?irn=1542508	1983	South America	Brazil	Pará	Tucuruí	PA-149			-3.76457	-49.6736	Georeferencing Quick Reference Guide, Version 2012	59511.2	D. C. Daly	""	Protium heptaphyllum subsp. cordatum (Huber) Daly	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	cordatum	subsp.	(Huber) Daly
62176763-d8a8-45f8-8043-3fceb6cac988	NY	New York Botanical Garden	S	1275676	M. de N. do C. Bastos	67	http://sweetgum.nybg.org/vh/specimen.php?irn=1537364	1978	South America	Brazil	Pará	""	Marajó, Enseada de Joanes.			-0.875396	-48.5123	Georeferencing Quick Reference Guide, Version 2012	4075.24	D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	""	""	(Aubl.) Marchand
6b9f28cb-f281-4c34-9466-e41683f74f7a	NY	New York Botanical Garden	S	1275689	A. L. Bernardi	6741	http://sweetgum.nybg.org/vh/specimen.php?irn=1537470	1957	South America	Venezuela	""	""	SE de Sta Elena, Guayana Venezolana.	900	900			""		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
0da0bcbd-8e36-480d-8ced-9d04b52c7db7	NY	New York Botanical Garden	S	1275618	A. L. Bernardi	3297	http://sweetgum.nybg.org/vh/specimen.php?irn=1535974	1956	South America	Venezuela	Mérida	""	Barinites.					""		D. C. Daly	""	Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	heptaphyllum	subsp.	""
70768e71-565a-448b-9d7e-6fe4d9a8958e	NY	New York Botanical Garden	S	1275619	A. L. Bernardi	6480	http://sweetgum.nybg.org/vh/specimen.php?irn=1535976	1957	South America	Venezuela	Mérida	""	Orillas del Rio Cuyuni, cerca del Dorado.	80				""		J. A. Steyermark	""	Protium heptaphyllum (Aubl.) Marchand	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	""	""	(Aubl.) Marchand
b34f9b5b-1d5f-45a1-93d0-154def520f15	NY	New York Botanical Garden	S	1310526	A. L. Bernardi	6480	http://sweetgum.nybg.org/vh/specimen.php?irn=2686307	1957	South America	Venezuela	Mérida	""	Orillas del Rio Cuyuni, cerca del Dorado.	80				""		""	""	Protium heptaphyllum (Aubl.) Marchand	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	""	""	(Aubl.) Marchand
6453fd0c-0191-4a51-8511-190e2796d6c2	NY	New York Botanical Garden	S	1310515	A. L. Bernardi	5723	http://sweetgum.nybg.org/vh/specimen.php?irn=1542539	1956	South America	Venezuela	Miranda	""	Guatopo	400	600			""		D. C. Daly	""	Protium heptaphyllum subsp. ulei (Swart) Daly	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	ulei	subsp.	(Swart) Daly
17a5a705-f642-48bb-850c-2fd681aa66f8	NY	New York Botanical Garden	S	1309610	A. L. Bernardi	2364	http://sweetgum.nybg.org/vh/specimen.php?irn=1537685	1955	South America	Venezuela	Mérida	""	""					""		A. L. Bernardi	""	Protium heptaphyllum (Aubl.) Marchand	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	""	""	(Aubl.) Marchand
63cdc137-620c-41a8-a98c-695ccec699ab	NY	New York Botanical Garden	S	1275622	A. L. Bernardi	2364	http://sweetgum.nybg.org/vh/specimen.php?irn=1536059	1955	South America	Venezuela	Mérida	""	""					""		""	""	Protium heptaphyllum (Aubl.) Marchand	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	""	""	(Aubl.) Marchand
f5f8fcd2-05e9-4aac-ab41-d7a8a93ecb99	NY	New York Botanical Garden	S	1310525	F. Cardona Puig	995	http://sweetgum.nybg.org/vh/specimen.php?irn=1542655	1945	South America	Venezuela	Bolívar	""	Salto Guaiquinima, Alto Río Paragua (Guayana).	300				""		D. C. Daly	""	Protium heptaphyllum subsp. ulei (Swart) Daly	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	ulei	subsp.	(Swart) Daly
75bf004d-de99-4213-836c-13b1acd1f3dd	NY	New York Botanical Garden	S	1310501	D. C. Daly	980	http://sweetgum.nybg.org/vh/specimen.php?irn=1542436	1981	South America	Brazil	Pará	""	Approx. 18 km east of Tucurui and Rio Tocantins, by BR 263			-3.76418	-49.5592	Georeferencing Quick Reference Guide, Version 2012	1967	D. C. Daly	""	Protium heptaphyllum subsp. cordatum (Huber) Daly	Plantae	Magnoliophyta	Burseraceae	Protium	heptaphyllum	cordatum	subsp.	(Huber) Daly
