COORD_,HERBARIA,COLETOR,NUMERO_COL,ESPECIE
01°35’ N 66°33’ W,INPA,Huber,5849,Macrolobium longipes
00°20’ N 67°19’ W,INPA,Rodrigues,10875,Macrolobium longipes
