"COLETOR"	"NUMERO"	"SP1"	"COLDD"	"COLM"	"COLY"	"ADDCOLL"	"COUNTRY"	"MINORAREA"	"MAJORAREA"	"GAZETTER"	"COORDENADAS"	"LATITUDE"	"LONGITUDE"	"HERBARIA"	"DESC_PLANT"	"DESC_HABITAT"
"Vicentini, A."	1886		27	8	2001	"Mesquita, R.C."	"Brasil"	"Barcelos"	"Amazonas"	"Platô da Serra do Aracá"	"00°56'54""N 063°23'30""W"	"0.948333"	"-63.391667"	"INPA"	"Árvore 4m, 20cm. Botoes esverdeados. Pétalas brancas. Fruto verde."	"Arbustal aberto, dossel de ca. 2-3 m, com Cladonia, área recentemente queimada (2-3 anos). Solo areia branca."
"Farroñay, F."	178		14	7	2017	"Oliveira, R."	"Brasil"	"Barcelos"	"Amazonas"	"Platô da Serra do Aracá"	"00°51'48''N 063°19'54''W"			"INPA"	"Arvoreta 1m, botoes verdes, petala branca, bifoliolada."	"Floresta raquitica com dosel aberto de ca. 2-3 m, solo arenoso."
